CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,Shape_area,Shape_Length,Shape,longitude,latitude
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,ESTABLISHED,1960s/1970s,5112413.6484380,9912.848347,Polygon,-114.0133144,51.0608344647555
Residential,1,MAN,MANCHESTER,CENTRE,ESTABLISHED,EMPLOYMENT,1196095.7500000,6383.072591,Polygon,-114.0666504,51.0062388765581
Industrial,2,MCI,MCCALL,NORTHEAST,N/A,EMPLOYMENT,6049829.7109380,10744.59835,Polygon,-114.0270862,51.0889975140780
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,ESTABLISHED,1980s/1990s,12722196.1406250,17778.15346,Polygon,-113.9881834,50.9148664939227
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,COMPLETE,2010s,12105859.5156250,15831.92215,Polygon,-113.96135,50.9171473804690
Residential,1,MDH,MEDICINE HILL,WEST,DEVELOPING,2000s,3065713.0312500,7911.481199,Polygon,-114.2001458,51.0791848785405
Residential,1,MEA,MEADOWLARK PARK,CENTRE,ESTABLISHED,1950s,1627238.6875000,5043.304195,Polygon,-114.0773517,50.9978576838281
Industrial,2,MER,MERIDIAN,NORTHEAST,N/A,EMPLOYMENT,3494740.2109380,9460.306772,Polygon,-113.996517,51.0565835695601
Residential,1,MID,MIDNAPORE,SOUTH,ESTABLISHED,1960s/1970s,7264270.0000000,13020.45721,Polygon,-114.0557152,50.9139029711704
Residential,1,MIS,MISSION,CENTRE,ESTABLISHED,INNER CITY,1351118.6171880,6084.235701,Polygon,-114.0663117,51.0310890097632
Industrial,2,MLI,MAYLAND,NORTHEAST,N/A,EMPLOYMENT,3101819.1093750,9143.836564,Polygon,-114.0103022,51.0523928924971
Residential,1,MLR,MILLRISE,SOUTH,ESTABLISHED,1980s/1990s,4478631.7343750,9364.082696,Polygon,-114.0849172,50.9170544208371
Industrial,2,MNI,MANCHESTER INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,11543500.9531250,19001.95483,Polygon,-114.0572248,51.0132613317067
Residential,1,MON,MONTGOMERY,NORTHWEST,ESTABLISHED,1950s,7467020.4296880,11695.27622,Polygon,-114.1622361,51.0710716598266
Residential,1,MOP,MOUNT PLEASANT,CENTRE,ESTABLISHED,INNER CITY,4718086.8593750,9533.918014,Polygon,-114.0767202,51.0742390077112
