COMM_CODE_09,CENSUS_YEAR_09,RESIDENT_CNT_09,COMM_CODE_19,CENSUS_YEAR_19,RESIDENT_CNT_19,PER_GRWTH,TOP_5_COMM_CODE,TOP_5_PERCENT_GROWTH,TOP_5_POP_09,TOP_5_POP_19,,,,,,,,,,,,,,,
UMR,2009,2551,UMR,2019,2475,-2.979223834,,,,,,,,,,,,,,,,,,,
BRA,2009,6012,BRA,2019,5805,-3.443113772,,,,,,,,,,,,,,,,,,,
COR,2009,6008,COR,2019,5798,-3.495339547,,,,,,,,,,,,,,,,,,,
BED,2009,11951,BED,2019,11514,-3.656597774,,,,,,,,,,,,,,,,,,,
SNA,2009,3357,SNA,2019,3234,-3.663985702,,,,,,,,,,,,,,,,,,,
CHK,2009,1725,CHK,2019,1661,-3.710144928,,,,,,,,,,,,,,,,,,,
SIG,2009,13912,SIG,2019,13395,-3.716216216,,,,,,,,,,,,,,,,,,,
RED,2009,1657,RED,2019,1594,-3.802051901,,,,,,,,,,,,,,,,,,,
GRE,2009,934,GRE,2019,896,-4.068522484,,,,,,,,,,,,,,,,,,,
BDO,2009,968,BDO,2019,928,-4.132231405,,,,,,,,,,,,,,,,,,,
CED,2009,6366,CED,2019,6094,-4.272698712,,,,,,,,,,,,,,,,,,,
QLD,2009,4962,QLD,2019,4743,-4.413542926,,,,,,,,,,,,,,,,,,,
MPL,2009,2005,MPL,2019,1916,-4.438902743,,,,,,,,,,,,,,,,,,,
CAN,2009,7985,CAN,2019,7624,-4.520976832,,,,,,,,,,,,,,,,,,,
LKB,2009,10808,LKB,2019,10290,-4.792746114,,,,,,,,,,,,,,,,,,,
HOU,2009,2940,HOU,2019,2798,-4.829931973,,,,,,,,,,,,,,,,,,,
STR,2009,7205,STR,2019,6855,-4.857737682,,,,,,,,,,,,,,,,,,,
PKL,2009,3847,PKL,2019,3659,-4.886924877,,,,,,,,,,,,,,,,,,,
GRV,2009,2004,GRV,2019,1906,-4.890219561,,,,,,,,,,,,,,,,,,,
RDL,2009,1644,RDL,2019,1560,-5.109489051,,,,,,,,,,,,,,,,,,,
SIL,2009,9147,SIL,2019,8679,-5.116431617,,,,,,,,,,,,,,,,,,,
WOO,2009,6354,WOO,2019,6002,-5.539817438,,,,,,,,,,,,,,,,,,,
BRT,2009,736,BRT,2019,690,-6.25,,,,,,,,,,,,,,,,,,,
RID,2009,636,RID,2019,594,-6.603773585,,,,,,,,,,,,,,,,,,,
